run_id,pipeline_name,scheduled_for,started_at,ended_at,status,trigger_type,duration_seconds,rows_loaded,freshness_minutes,error_message
run_0078,crm_customer_sync,2026-08-18,2026-08-18T05:05:00,2026-08-18T05:05:15.495806,success,schedule,15.496,407,7,
run_0079,finance_revenue_close,2026-08-18,2026-08-18T07:08:00,2026-08-18T07:08:21.633085,success,schedule,21.633,838,29,
run_0080,commerce_daily,2026-08-19,2026-08-19T06:02:00,2026-08-19T06:02:31.613069,success,schedule,31.613,3176,34,
run_0081,crm_customer_sync,2026-08-19,2026-08-19T05:00:00,2026-08-19T05:00:22.293110,success,schedule,22.293,429,22,
run_0082,finance_revenue_close,2026-08-19,2026-08-19T07:04:00,2026-08-19T07:04:19.934019,success,schedule,19.934,2824,22,
run_0083,commerce_daily,2026-08-20,2026-08-20T06:06:00,2026-08-20T06:06:31.501392,success,schedule,31.501,3542,11,
run_0084,crm_customer_sync,2026-08-20,2026-08-20T05:00:00,2026-08-20T05:00:20.871100,success,schedule,20.871,2517,9,
run_0085,finance_revenue_close,2026-08-20,2026-08-20T07:02:00,2026-08-20T07:02:28.242583,success,schedule,28.243,1800,37,
run_0086,commerce_daily,2026-08-21,2026-08-21T06:04:00,2026-08-21T06:04:25.822609,failed,schedule,25.823,3578,31,accepted-values check failed
run_0087,crm_customer_sync,2026-08-21,2026-08-21T05:06:00,2026-08-21T05:06:20.457884,success,schedule,20.458,2262,26,
run_0088,finance_revenue_close,2026-08-21,2026-08-21T07:00:00,2026-08-21T07:00:22.708703,success,schedule,22.709,378,24,
run_0089,commerce_daily,2026-08-22,2026-08-22T06:08:00,2026-08-22T06:08:25.713268,success,schedule,25.713,3294,41,
run_0090,crm_customer_sync,2026-08-22,2026-08-22T05:04:00,2026-08-22T05:04:18.580206,success,schedule,18.58,409,4,
run_0091,commerce_daily,2026-08-23,2026-08-23T06:07:00,2026-08-23T06:07:24.309107,success,schedule,24.309,3767,30,
run_0092,crm_customer_sync,2026-08-23,2026-08-23T05:07:00,2026-08-23T05:07:22.738676,success,schedule,22.739,636,15,
run_0093,commerce_daily,2026-08-24,2026-08-24T06:05:00,2026-08-24T06:05:31.635466,success,schedule,31.635,3502,34,
run_0094,crm_customer_sync,2026-08-24,2026-08-24T05:01:00,2026-08-24T05:01:16.854732,success,schedule,16.855,592,7,
run_0095,finance_revenue_close,2026-08-24,2026-08-24T07:02:00,2026-08-24T07:02:20.921447,success,schedule,20.921,423,16,
run_0096,commerce_daily,2026-08-25,2026-08-25T06:01:00,2026-08-25T06:01:33.891195,success,schedule,33.891,3566,41,
run_0097,crm_customer_sync,2026-08-25,2026-08-25T05:07:00,2026-08-25T05:07:23.705938,success,schedule,23.706,2532,7,
run_0098,finance_revenue_close,2026-08-25,2026-08-25T07:00:00,2026-08-25T07:00:23.468621,success,schedule,23.469,1222,4,
run_0099,commerce_daily,2026-08-26,2026-08-26T06:08:00,2026-08-26T06:08:30.426923,success,schedule,30.427,3554,25,
run_0100,crm_customer_sync,2026-08-26,2026-08-26T05:05:00,2026-08-26T05:05:23.491232,success,schedule,23.491,2198,25,
run_0101,finance_revenue_close,2026-08-26,2026-08-26T07:03:00,2026-08-26T07:03:21.701568,success,schedule,21.702,2192,36,
run_0102,commerce_daily,2026-08-27,2026-08-27T06:01:00,2026-08-27T06:01:34.676448,success,schedule,34.676,3458,33,
run_0103,crm_customer_sync,2026-08-27,2026-08-27T05:02:00,2026-08-27T05:02:26.300687,success,schedule,26.301,2558,27,
run_0104,finance_revenue_close,2026-08-27,2026-08-27T07:07:00,2026-08-27T07:07:24.504263,success,schedule,24.504,1073,13,
run_0105,commerce_daily,2026-08-28,2026-08-28T06:00:00,2026-08-28T06:00:26.002237,success,schedule,26.002,3614,35,
run_0106,crm_customer_sync,2026-08-28,2026-08-28T05:06:00,2026-08-28T05:06:23.078212,success,schedule,23.078,2206,11,
run_0107,finance_revenue_close,2026-08-28,2026-08-28T07:08:00,2026-08-28T07:08:26.638946,success,schedule,26.639,1787,34,
run_0108,commerce_daily,2026-08-29,2026-08-29T06:06:00,2026-08-29T06:06:30.180122,success,schedule,30.18,3365,29,
run_0109,crm_customer_sync,2026-08-29,2026-08-29T05:06:00,2026-08-29T05:06:16.420827,success,schedule,16.421,1561,12,
run_0110,commerce_daily,2026-08-30,2026-08-30T06:00:00,2026-08-30T06:00:34.478280,success,schedule,34.478,3745,37,
run_0111,crm_customer_sync,2026-08-30,2026-08-30T05:01:00,2026-08-30T05:01:14.145418,success,schedule,14.145,853,10,
run_0112,commerce_daily,2026-08-31,2026-08-31T06:01:00,2026-08-31T06:01:30.347349,success,schedule,30.347,3641,20,
run_0113,crm_customer_sync,2026-08-31,2026-08-31T05:01:00,2026-08-31T05:01:18.548556,success,schedule,18.549,3192,24,
run_0114,finance_revenue_close,2026-08-31,2026-08-31T07:01:00,2026-08-31T07:01:21.580042,success,schedule,21.58,1445,7,
run_0115,commerce_daily,2026-09-01,2026-09-01T06:08:00,2026-09-01T06:08:33.360904,success,schedule,33.361,3152,24,
run_0116,crm_customer_sync,2026-09-01,2026-09-01T05:08:00,2026-09-01T05:08:16.110636,success,schedule,16.111,886,12,
run_0117,finance_revenue_close,2026-09-01,2026-09-01T07:07:00,2026-09-01T07:07:22.513388,success,schedule,22.513,2978,26,
run_0118,commerce_daily,2026-09-02,2026-09-02T06:05:00,2026-09-02T06:05:30.499281,success,schedule,30.499,3646,40,
run_0119,crm_customer_sync,2026-09-02,2026-09-02T05:06:00,2026-09-02T05:06:22.303476,success,schedule,22.303,377,33,
run_0120,finance_revenue_close,2026-09-02,2026-09-02T07:03:00,2026-09-02T07:03:19.454211,success,schedule,19.454,1166,11,
run_0121,commerce_daily,2026-09-03,2026-09-03T06:07:00,2026-09-03T06:07:26.060711,success,schedule,26.061,3801,39,
run_0122,crm_customer_sync,2026-09-03,2026-09-03T05:07:00,2026-09-03T05:07:29.281466,success,schedule,29.281,420,13,
run_0123,finance_revenue_close,2026-09-03,2026-09-03T07:07:00,2026-09-03T07:07:26.086279,success,schedule,26.086,595,25,
