order_id,customer_id,product_id,order_date,quantity,unit_price,gross_amount,status,source_updated_at
50044,244,102,2026-05-07,3,836.86,2510.58,paid,2026-05-07T08:06:00
50045,70,104,2026-05-07,2,1081.62,2163.24,paid,2026-05-07T08:00:00
50046,323,101,2026-05-07,1,1138.72,1138.72,paid,2026-05-07T09:17:00
50047,191,103,2026-05-07,2,1209.42,2418.84,paid,2026-05-07T15:21:00
50048,195,101,2026-05-07,2,1009.53,2019.06,paid,2026-05-07T12:29:00
50049,278,103,2026-05-07,3,1274.39,3823.17,paid,2026-05-07T18:28:00
50050,370,104,2026-05-07,1,944.95,944.95,paid,2026-05-07T10:23:00
50051,250,103,2026-05-07,1,1208.1,1208.1,paid,2026-05-07T16:53:00
50052,318,101,2026-05-07,2,1146.49,2292.98,paid,2026-05-07T17:14:00
50053,349,101,2026-05-07,1,1019.75,1019.75,paid,2026-05-07T12:10:00
50054,216,103,2026-05-07,2,1243.34,2486.68,paid,2026-05-07T08:30:00
50055,290,103,2026-05-07,2,1493.44,2986.88,paid,2026-05-07T10:42:00
50056,75,102,2026-05-07,1,756.16,756.16,paid,2026-05-07T09:24:00
50057,21,102,2026-05-07,2,753.82,1507.64,paid,2026-05-07T21:50:00
50058,160,104,2026-05-07,2,1128.53,2257.06,paid,2026-05-07T12:10:00
50059,88,104,2026-05-07,2,924.29,1848.58,paid,2026-05-07T20:35:00
50060,97,102,2026-05-07,1,815.65,815.65,paid,2026-05-07T16:37:00
50061,17,101,2026-05-07,1,1130.14,1130.14,refunded,2026-05-07T09:59:00
50062,88,104,2026-05-07,2,958.16,1916.32,paid,2026-05-07T18:10:00
50063,363,103,2026-05-07,2,1323.35,2646.7,paid,2026-05-07T17:21:00
50064,1,105,2026-05-07,1,532.27,532.27,paid,2026-05-07T13:49:00
50065,73,104,2026-05-07,1,1006.92,1006.92,paid,2026-05-07T15:19:00
50066,337,104,2026-05-07,1,1070.56,1070.56,paid,2026-05-07T13:03:00
50067,341,103,2026-05-08,4,1366.91,5467.64,paid,2026-05-08T17:53:00
50068,113,102,2026-05-08,5,707.59,3537.95,paid,2026-05-08T15:35:00
50069,310,102,2026-05-08,1,752.37,752.37,paid,2026-05-08T17:44:00
50070,217,101,2026-05-08,1,1169.15,1169.15,paid,2026-05-08T15:25:00
50071,149,104,2026-05-08,1,1139.43,1139.43,paid,2026-05-08T08:28:00
50072,164,103,2026-05-08,2,1195.97,2391.94,refunded,2026-05-08T19:38:00
50073,377,103,2026-05-08,4,1211.38,4845.52,paid,2026-05-08T08:20:00
50074,76,101,2026-05-08,2,1080.08,2160.16,paid,2026-05-08T12:16:00
50075,3,105,2026-05-08,1,562.97,562.97,paid,2026-05-08T20:30:00
50076,380,105,2026-05-08,1,549.44,549.44,paid,2026-05-08T12:24:00
50077,359,104,2026-05-08,3,1135.51,3406.53,paid,2026-05-08T11:59:00
50078,148,104,2026-05-08,3,1056.46,3169.38,paid,2026-05-08T15:01:00
50079,310,105,2026-05-08,1,493.62,493.62,paid,2026-05-08T09:27:00
50080,358,103,2026-05-08,1,1451.38,1451.38,paid,2026-05-08T12:48:00
50081,223,105,2026-05-08,1,576.11,576.11,paid,2026-05-08T14:07:00
50082,321,102,2026-05-08,2,854.11,1708.22,paid,2026-05-08T19:58:00
50083,247,102,2026-05-08,1,854.65,854.65,paid,2026-05-08T17:20:00
50084,177,101,2026-05-08,1,1015.16,1015.16,paid,2026-05-08T14:32:00
50085,139,102,2026-05-08,2,883.6,1767.2,paid,2026-05-08T08:47:00
50086,150,102,2026-05-08,2,750.89,1501.78,paid,2026-05-08T09:25:00
50087,203,101,2026-05-08,1,1101.86,1101.86,paid,2026-05-08T08:10:00
50088,199,105,2026-05-08,2,618.84,1237.68,paid,2026-05-08T14:34:00
50089,73,102,2026-05-08,1,721.52,721.52,paid,2026-05-08T11:14:00
50090,43,104,2026-05-08,1,1149.56,1149.56,paid,2026-05-08T18:57:00
50091,381,103,2026-05-08,3,1444.12,4332.36,refunded,2026-05-08T11:22:00
50092,398,105,2026-05-08,1,580.63,580.63,paid,2026-05-08T21:22:00
50093,294,102,2026-05-08,5,776.8,3884.0,paid,2026-05-08T11:20:00
50094,14,101,2026-05-08,3,1084.94,3254.82,paid,2026-05-08T20:56:00
50095,42,104,2026-05-09,1,1068.71,1068.71,paid,2026-05-09T08:44:00
50096,122,102,2026-05-09,4,726.81,2907.24,paid,2026-05-09T20:34:00
50097,202,105,2026-05-09,1,621.39,621.39,paid,2026-05-09T11:17:00
50098,230,101,2026-05-09,2,1205.9,2411.8,paid,2026-05-09T16:31:00
50099,383,104,2026-05-09,1,1118.67,1118.67,paid,2026-05-09T17:38:00
50100,324,104,2026-05-09,3,1059.78,3179.34,paid,2026-05-09T17:51:00
50101,83,101,2026-05-09,1,1128.22,1128.22,paid,2026-05-09T08:13:00
50102,293,105,2026-05-09,2,632.93,1265.86,paid,2026-05-09T22:59:00
50103,378,105,2026-05-09,1,551.7,551.7,refunded,2026-05-09T20:18:00
50104,110,105,2026-05-09,2,518.48,1036.96,paid,2026-05-09T20:08:00
50105,400,105,2026-05-09,1,574.31,574.31,paid,2026-05-09T18:20:00
50106,42,101,2026-05-09,2,1129.42,2258.84,paid,2026-05-09T17:19:00
50107,351,105,2026-05-09,1,508.2,508.2,paid,2026-05-09T08:54:00
50108,211,102,2026-05-09,1,832.2,832.2,paid,2026-05-09T13:46:00
50109,93,105,2026-05-09,3,628.6,1885.8,paid,2026-05-09T11:09:00
50110,301,102,2026-05-09,1,876.24,876.24,paid,2026-05-09T15:32:00
50111,81,104,2026-05-09,1,1005.52,1005.52,paid,2026-05-09T15:02:00
50112,321,101,2026-05-09,1,1005.78,1005.78,paid,2026-05-09T16:07:00
50113,232,104,2026-05-09,1,1138.89,1138.89,paid,2026-05-09T15:48:00
50114,209,101,2026-05-09,1,986.97,986.97,paid,2026-05-09T10:33:00
50115,262,105,2026-05-09,2,514.13,1028.26,paid,2026-05-09T09:14:00
50116,77,105,2026-05-09,4,626.6,2506.4,refunded,2026-05-09T22:05:00
50117,32,101,2026-05-09,2,1125.42,2250.84,paid,2026-05-09T18:15:00
50118,301,103,2026-05-09,2,1517.83,3035.66,paid,2026-05-09T18:16:00
50119,245,105,2026-05-09,1,579.43,579.43,paid,2026-05-09T10:49:00
50120,228,102,2026-05-09,2,817.09,1634.18,paid,2026-05-09T21:03:00
50121,97,102,2026-05-09,2,813.8,1627.6,paid,2026-05-09T19:34:00
50122,258,104,2026-05-09,1,1013.56,1013.56,paid,2026-05-09T20:46:00
50123,270,103,2026-05-09,1,1204.51,1204.51,paid,2026-05-09T14:10:00
50124,56,103,2026-05-09,1,1234.62,1234.62,paid,2026-05-09T22:39:00
50125,176,102,2026-05-09,1,778.1,778.1,paid,2026-05-09T22:24:00
50126,175,101,2026-05-10,3,1107.92,3323.76,paid,2026-05-10T21:56:00
50127,26,103,2026-05-10,1,1374.07,1374.07,paid,2026-05-10T13:06:00
50128,378,103,2026-05-10,1,1278.85,1278.85,paid,2026-05-10T16:14:00
50129,59,102,2026-05-10,4,892.16,3568.64,paid,2026-05-10T14:42:00
50130,303,102,2026-05-10,1,900.91,900.91,paid,2026-05-10T09:35:00
50131,261,102,2026-05-10,1,734.19,734.19,paid,2026-05-10T19:50:00
50132,97,101,2026-05-10,2,1238.13,2476.26,paid,2026-05-10T22:42:00
50133,25,102,2026-05-10,1,788.46,788.46,paid,2026-05-10T11:15:00
50134,293,105,2026-05-10,1,543.79,543.79,paid,2026-05-10T12:36:00
50135,30,104,2026-05-10,2,962.72,1925.44,paid,2026-05-10T14:37:00
50136,163,102,2026-05-10,2,808.43,1616.86,paid,2026-05-10T09:36:00
50137,130,104,2026-05-10,1,1004.7,1004.7,paid,2026-05-10T17:10:00
50138,205,102,2026-05-10,2,818.72,1637.44,paid,2026-05-10T16:51:00
50139,293,104,2026-05-10,1,1081.88,1081.88,paid,2026-05-10T22:40:00
50140,187,103,2026-05-10,1,1271.44,1271.44,paid,2026-05-10T15:13:00
50141,48,104,2026-05-10,1,1163.64,1163.64,paid,2026-05-10T16:36:00
50142,94,102,2026-05-10,2,781.15,1562.3,paid,2026-05-10T15:30:00
50143,38,102,2026-05-10,1,788.83,788.83,paid,2026-05-10T21:32:00
50144,59,104,2026-05-10,1,1096.81,1096.81,paid,2026-05-10T10:11:00
50145,179,101,2026-05-10,1,1212.16,1212.16,paid,2026-05-10T19:41:00
50146,91,101,2026-05-10,1,1252.63,1252.63,paid,2026-05-10T09:21:00
50147,304,105,2026-05-10,2,529.31,1058.62,paid,2026-05-10T08:32:00
50148,243,105,2026-05-10,1,515.85,515.85,paid,2026-05-10T09:00:00
50149,316,105,2026-05-10,1,506.86,506.86,paid,2026-05-10T19:48:00
50150,388,104,2026-05-11,2,911.49,1822.98,refunded,2026-05-11T16:12:00
50151,231,105,2026-05-11,1,558.55,558.55,paid,2026-05-11T21:34:00
50152,386,101,2026-05-11,1,1003.36,1003.36,paid,2026-05-11T16:16:00
50153,266,105,2026-05-11,1,504.94,504.94,paid,2026-05-11T09:08:00
50154,117,105,2026-05-11,1,520.12,520.12,paid,2026-05-11T08:49:00
50155,279,101,2026-05-11,1,1037.36,1037.36,paid,2026-05-11T11:05:00
50156,35,103,2026-05-11,2,1190.03,2380.06,paid,2026-05-11T21:21:00
50157,329,103,2026-05-11,2,1363.36,2726.72,paid,2026-05-11T19:52:00
50158,81,101,2026-05-11,2,1077.57,2155.14,paid,2026-05-11T14:50:00
50159,238,104,2026-05-11,1,1132.81,1132.81,paid,2026-05-11T18:39:00
50160,118,101,2026-05-11,2,1125.93,2251.86,paid,2026-05-11T18:34:00
50161,395,103,2026-05-11,1,1461.06,1461.06,paid,2026-05-11T17:09:00
50162,182,105,2026-05-11,1,582.01,582.01,paid,2026-05-11T11:43:00
50163,304,104,2026-05-11,1,969.04,969.04,paid,2026-05-11T15:00:00
50164,264,102,2026-05-11,1,738.26,738.26,paid,2026-05-11T09:28:00
50165,83,102,2026-05-11,1,749.33,749.33,paid,2026-05-11T12:46:00
50166,241,103,2026-05-11,4,1399.71,5598.84,paid,2026-05-11T16:56:00
50167,102,104,2026-05-11,1,1002.9,1002.9,paid,2026-05-11T10:18:00
50168,225,104,2026-05-11,1,939.54,939.54,paid,2026-05-11T14:37:00
50169,379,101,2026-05-11,5,1186.88,5934.4,paid,2026-05-11T12:18:00
50170,169,103,2026-05-11,1,1265.04,1265.04,paid,2026-05-11T11:58:00
50171,192,103,2026-05-11,2,1296.36,2592.72,paid,2026-05-11T22:15:00
50172,138,101,2026-05-11,1,1152.38,1152.38,paid,2026-05-11T10:23:00
50173,43,105,2026-05-11,2,544.73,1089.46,paid,2026-05-11T15:55:00
50174,321,105,2026-05-11,2,497.41,994.82,refunded,2026-05-11T19:03:00
50175,222,102,2026-05-11,1,853.75,853.75,paid,2026-05-11T12:48:00
50176,91,101,2026-05-11,1,1238.54,1238.54,paid,2026-05-11T13:41:00
50177,194,105,2026-05-11,1,520.6,520.6,paid,2026-05-11T17:43:00
50178,21,105,2026-05-11,1,589.27,589.27,paid,2026-05-11T15:27:00
50179,119,104,2026-05-11,4,1003.59,4014.36,paid,2026-05-11T21:01:00
50180,360,104,2026-05-11,2,1153.46,2306.92,paid,2026-05-11T20:50:00
50181,332,105,2026-05-11,1,523.95,523.95,paid,2026-05-11T15:40:00
50182,266,103,2026-05-11,1,1298.72,1298.72,paid,2026-05-11T13:26:00
50183,185,104,2026-05-11,3,917.2,2751.6,paid,2026-05-11T13:28:00
50184,313,103,2026-05-11,1,1443.41,1443.41,paid,2026-05-11T19:46:00
50185,95,101,2026-05-11,1,1203.39,1203.39,paid,2026-05-11T22:54:00
50186,267,102,2026-05-11,4,848.25,3393.0,paid,2026-05-11T08:14:00
50187,75,105,2026-05-11,2,508.86,1017.72,paid,2026-05-11T18:39:00
50188,231,101,2026-05-11,1,1130.28,1130.28,paid,2026-05-11T19:40:00
50189,364,104,2026-05-12,1,983.58,983.58,paid,2026-05-12T18:10:00
50190,192,101,2026-05-12,1,1205.88,1205.88,refunded,2026-05-12T22:59:00
50191,37,101,2026-05-12,1,1125.38,1125.38,paid,2026-05-12T18:57:00
50192,216,101,2026-05-12,1,1013.45,1013.45,refunded,2026-05-12T18:27:00
50193,395,104,2026-05-12,1,968.7,968.7,paid,2026-05-12T12:05:00
50194,34,103,2026-05-12,3,1303.27,3909.81,paid,2026-05-12T19:45:00
50195,172,105,2026-05-12,1,499.26,499.26,paid,2026-05-12T14:14:00
50196,184,104,2026-05-12,1,978.14,978.14,paid,2026-05-12T09:38:00
50197,311,101,2026-05-12,1,1236.4,1236.4,paid,2026-05-12T14:08:00
50198,341,105,2026-05-12,1,560.16,560.16,paid,2026-05-12T11:29:00
50199,17,104,2026-05-12,1,1126.79,1126.79,paid,2026-05-12T15:53:00
50200,332,103,2026-05-12,1,1247.58,1247.58,paid,2026-05-12T20:49:00
50201,160,103,2026-05-12,1,1217.38,1217.38,paid,2026-05-12T15:30:00
50202,147,101,2026-05-12,1,1211.46,1211.46,paid,2026-05-12T21:22:00
50203,27,103,2026-05-12,2,1478.38,2956.76,paid,2026-05-12T18:17:00
50204,377,103,2026-05-12,1,1454.51,1454.51,paid,2026-05-12T12:02:00
50205,82,102,2026-05-12,1,766.23,766.23,paid,2026-05-12T21:03:00
50206,169,103,2026-05-12,1,1399.22,1399.22,refunded,2026-05-12T08:34:00
50207,106,105,2026-05-12,1,502.77,502.77,paid,2026-05-12T16:17:00
50208,237,103,2026-05-12,1,1264.04,1264.04,paid,2026-05-12T10:23:00
50209,29,104,2026-05-12,1,914.04,914.04,paid,2026-05-12T19:49:00
50210,51,103,2026-05-12,1,1512.34,1512.34,paid,2026-05-12T15:35:00
50211,204,102,2026-05-12,2,707.37,1414.74,paid,2026-05-12T10:47:00
50212,281,105,2026-05-12,1,612.13,612.13,paid,2026-05-12T20:25:00
50213,102,101,2026-05-12,1,1102.89,1102.89,paid,2026-05-12T22:00:00
50214,311,102,2026-05-12,2,794.56,1589.12,paid,2026-05-12T13:37:00
50215,185,103,2026-05-13,1,1489.8,1489.8,paid,2026-05-13T12:01:00
50216,182,104,2026-05-13,2,1136.71,2273.42,paid,2026-05-13T09:41:00
50217,40,101,2026-05-13,2,1184.8,2369.6,paid,2026-05-13T17:00:00
50218,308,103,2026-05-13,1,1321.54,1321.54,paid,2026-05-13T13:18:00
50219,362,103,2026-05-13,1,1459.28,1459.28,paid,2026-05-13T21:02:00
50220,16,104,2026-05-13,2,909.26,1818.52,paid,2026-05-13T18:18:00
50221,222,103,2026-05-13,1,1316.92,1316.92,paid,2026-05-13T08:38:00
50222,333,105,2026-05-13,1,612.09,612.09,paid,2026-05-13T18:45:00
50223,261,104,2026-05-13,2,1041.81,2083.62,paid,2026-05-13T08:03:00
50224,39,101,2026-05-13,2,1035.06,2070.12,paid,2026-05-13T10:33:00
50225,15,102,2026-05-13,2,816.21,1632.42,paid,2026-05-13T22:03:00
50226,391,104,2026-05-13,1,1151.1,1151.1,paid,2026-05-13T09:13:00
50227,261,105,2026-05-13,1,527.83,527.83,paid,2026-05-13T16:17:00
50228,291,102,2026-05-13,1,752.66,752.66,paid,2026-05-13T12:32:00
50229,138,102,2026-05-13,1,792.65,792.65,paid,2026-05-13T18:06:00
50230,357,105,2026-05-13,1,499.85,499.85,refunded,2026-05-13T10:43:00
50231,125,105,2026-05-13,4,528.8,2115.2,paid,2026-05-13T21:36:00
50232,12,101,2026-05-13,2,1218.8,2437.6,refunded,2026-05-13T18:10:00
50233,214,102,2026-05-13,1,804.86,804.86,paid,2026-05-13T12:40:00
50234,181,102,2026-05-13,2,814.05,1628.1,paid,2026-05-13T19:50:00
50235,288,102,2026-05-13,1,812.77,812.77,paid,2026-05-13T11:58:00
50236,325,105,2026-05-13,2,571.8,1143.6,paid,2026-05-13T09:02:00
50237,273,104,2026-05-13,2,919.01,1838.02,paid,2026-05-13T10:34:00
50238,14,103,2026-05-13,2,1305.2,2610.4,paid,2026-05-13T09:44:00
50239,164,104,2026-05-13,1,1064.56,1064.56,paid,2026-05-13T15:41:00
50240,23,102,2026-05-13,2,854.23,1708.46,paid,2026-05-13T13:16:00
50241,137,104,2026-05-13,1,1036.29,1036.29,paid,2026-05-13T10:06:00
50242,386,101,2026-05-13,1,1258.74,1258.74,refunded,2026-05-13T13:22:00
50243,33,102,2026-05-13,1,831.6,831.6,paid,2026-05-13T19:49:00
50244,300,105,2026-05-13,2,567.79,1135.58,refunded,2026-05-13T10:17:00
50245,95,102,2026-05-14,5,732.22,3661.1,paid,2026-05-14T15:03:00
50246,15,103,2026-05-14,2,1266.81,2533.62,paid,2026-05-14T18:14:00
50247,286,103,2026-05-14,1,1330.24,1330.24,paid,2026-05-14T10:30:00
50248,232,103,2026-05-14,1,1436.8,1436.8,paid,2026-05-14T12:17:00
50249,135,102,2026-05-14,1,808.43,808.43,paid,2026-05-14T14:36:00
50250,263,104,2026-05-14,2,1105.15,2210.3,paid,2026-05-14T19:10:00
50251,142,103,2026-05-14,1,1290.45,1290.45,paid,2026-05-14T09:14:00
50252,394,104,2026-05-14,4,991.92,3967.68,paid,2026-05-14T18:06:00
50253,243,105,2026-05-14,2,580.2,1160.4,paid,2026-05-14T18:47:00
50254,306,104,2026-05-14,2,1156.2,2312.4,paid,2026-05-14T22:52:00
50255,84,103,2026-05-14,2,1290.88,2581.76,paid,2026-05-14T16:25:00
50256,203,103,2026-05-14,1,1405.38,1405.38,paid,2026-05-14T12:49:00
50257,265,104,2026-05-14,1,987.88,987.88,paid,2026-05-14T20:39:00
50258,179,103,2026-05-14,1,1456.06,1456.06,refunded,2026-05-14T20:39:00
50259,116,102,2026-05-14,2,751.25,1502.5,paid,2026-05-14T09:35:00
50260,174,101,2026-05-14,2,1018.07,2036.14,paid,2026-05-14T17:54:00
50261,373,103,2026-05-14,1,1306.69,1306.69,paid,2026-05-14T20:14:00
50262,181,105,2026-05-14,1,588.64,588.64,paid,2026-05-14T16:45:00
50263,112,105,2026-05-14,3,494.42,1483.26,paid,2026-05-14T12:30:00
50264,12,104,2026-05-14,2,992.17,1984.34,paid,2026-05-14T11:26:00
50265,2,103,2026-05-14,2,1339.82,2679.64,paid,2026-05-14T20:11:00
50266,216,105,2026-05-14,1,493.86,493.86,paid,2026-05-14T13:12:00
50267,259,101,2026-05-14,1,1221.65,1221.65,paid,2026-05-14T21:37:00
50268,374,104,2026-05-14,4,1095.03,4380.12,refunded,2026-05-14T18:40:00
50269,196,101,2026-05-14,4,1045.77,4183.08,paid,2026-05-14T08:53:00
50270,170,105,2026-05-14,2,619.66,1239.32,paid,2026-05-14T09:08:00
50271,1,102,2026-05-14,1,811.93,811.93,paid,2026-05-14T12:46:00
50272,288,104,2026-05-14,1,1125.24,1125.24,paid,2026-05-14T18:11:00
50273,99,104,2026-05-14,1,1091.16,1091.16,paid,2026-05-14T20:06:00
50274,326,103,2026-05-14,2,1413.15,2826.3,paid,2026-05-14T13:53:00
50275,304,104,2026-05-14,3,1116.68,3350.04,paid,2026-05-14T14:22:00
50276,171,103,2026-05-14,1,1513.6,1513.6,paid,2026-05-14T14:56:00
50277,166,102,2026-05-14,1,867.4,867.4,paid,2026-05-14T09:57:00
50278,398,105,2026-05-14,2,579.13,1158.26,paid,2026-05-14T15:11:00
50279,183,101,2026-05-14,2,1156.22,2312.44,paid,2026-05-14T21:08:00
50280,297,103,2026-05-14,2,1200.23,2400.46,paid,2026-05-14T11:32:00
50281,10,102,2026-05-14,1,873.24,873.24,paid,2026-05-14T19:45:00
50282,194,103,2026-05-14,2,1435.28,2870.56,refunded,2026-05-14T17:58:00
50283,205,102,2026-05-14,1,804.16,804.16,paid,2026-05-14T18:12:00
50284,16,103,2026-05-15,3,1466.32,4398.96,paid,2026-05-15T10:35:00
50285,227,104,2026-05-15,1,1018.19,1018.19,paid,2026-05-15T17:33:00
50286,28,101,2026-05-15,1,1246.49,1246.49,paid,2026-05-15T15:08:00
50287,139,102,2026-05-15,1,798.85,798.85,paid,2026-05-15T17:07:00
50288,120,102,2026-05-15,1,856.99,856.99,paid,2026-05-15T16:24:00
50289,45,105,2026-05-15,1,554.55,554.55,paid,2026-05-15T20:48:00
50290,276,103,2026-05-15,2,1532.71,3065.42,paid,2026-05-15T12:50:00
50291,259,105,2026-05-15,1,612.43,612.43,paid,2026-05-15T15:33:00
50292,77,103,2026-05-15,2,1451.31,2902.62,paid,2026-05-15T13:44:00
50293,47,101,2026-05-15,1,1160.13,1160.13,paid,2026-05-15T10:16:00
50294,119,101,2026-05-15,1,1102.01,1102.01,paid,2026-05-15T10:44:00
50295,343,104,2026-05-15,2,1023.85,2047.7,paid,2026-05-15T22:26:00
50296,16,105,2026-05-15,3,564.39,1693.17,paid,2026-05-15T20:04:00
50297,50,105,2026-05-15,1,633.69,633.69,paid,2026-05-15T14:29:00
50298,296,102,2026-05-15,1,872.93,872.93,paid,2026-05-15T16:29:00
50299,73,101,2026-05-15,2,1212.37,2424.74,paid,2026-05-15T20:37:00
50300,136,103,2026-05-15,1,1357.78,1357.78,paid,2026-05-15T17:00:00
50301,73,102,2026-05-15,2,868.0,1736.0,paid,2026-05-15T10:26:00
50302,84,101,2026-05-15,1,1210.2,1210.2,paid,2026-05-15T14:48:00
50303,348,105,2026-05-15,2,510.93,1021.86,refunded,2026-05-15T16:32:00
50304,46,102,2026-05-15,1,718.25,718.25,paid,2026-05-15T10:01:00
50305,252,104,2026-05-15,3,1013.19,3039.57,paid,2026-05-15T15:07:00
50306,392,103,2026-05-15,1,1323.01,1323.01,paid,2026-05-15T12:56:00
50307,87,104,2026-05-15,2,1093.3,2186.6,paid,2026-05-15T10:49:00
50308,38,102,2026-05-15,4,747.2,2988.8,paid,2026-05-15T12:11:00
50309,110,105,2026-05-15,2,537.39,1074.78,paid,2026-05-15T15:07:00
50310,49,105,2026-05-15,1,572.99,572.99,paid,2026-05-15T12:31:00
50311,208,101,2026-05-15,1,1197.69,1197.69,paid,2026-05-15T11:52:00
50312,57,103,2026-05-15,1,1346.55,1346.55,paid,2026-05-15T10:46:00
50313,255,101,2026-05-15,2,1001.07,2002.14,paid,2026-05-15T11:29:00
50314,3,105,2026-05-15,1,607.41,607.41,paid,2026-05-15T12:35:00
50315,318,105,2026-05-15,1,546.77,546.77,paid,2026-05-15T11:36:00
50316,94,102,2026-05-15,2,801.74,1603.48,paid,2026-05-15T17:33:00
50317,150,104,2026-05-15,2,996.74,1993.48,paid,2026-05-15T13:38:00
50318,182,101,2026-05-15,1,1196.32,1196.32,paid,2026-05-15T15:34:00
50319,109,104,2026-05-15,1,1124.9,1124.9,paid,2026-05-15T16:33:00
50320,359,105,2026-05-15,1,564.64,564.64,paid,2026-05-15T17:26:00
50321,54,102,2026-05-15,1,698.94,698.94,paid,2026-05-15T20:39:00
50322,170,103,2026-05-15,2,1442.88,2885.76,paid,2026-05-15T15:40:00
50323,173,102,2026-05-16,2,831.48,1662.96,paid,2026-05-16T17:21:00
50324,338,103,2026-05-16,3,1311.81,3935.43,paid,2026-05-16T14:44:00
50325,176,101,2026-05-16,1,1171.83,1171.83,paid,2026-05-16T15:22:00
50326,9,105,2026-05-16,1,635.25,635.25,paid,2026-05-16T19:08:00
50327,328,105,2026-05-16,1,631.37,631.37,refunded,2026-05-16T09:02:00
50328,365,102,2026-05-16,2,700.38,1400.76,paid,2026-05-16T10:28:00
50329,214,102,2026-05-16,2,776.02,1552.04,paid,2026-05-16T15:21:00
50330,92,103,2026-05-16,1,1195.16,1195.16,refunded,2026-05-16T17:05:00
50331,11,101,2026-05-16,1,1079.45,1079.45,paid,2026-05-16T18:54:00
50332,47,102,2026-05-16,3,783.63,2350.89,paid,2026-05-16T09:08:00
50333,29,104,2026-05-16,1,1000.76,1000.76,paid,2026-05-16T11:26:00
50334,143,102,2026-05-16,1,840.61,840.61,paid,2026-05-16T12:03:00
50335,382,102,2026-05-16,2,712.2,1424.4,paid,2026-05-16T08:49:00
50336,100,105,2026-05-16,1,590.41,590.41,paid,2026-05-16T21:22:00
50337,381,105,2026-05-16,1,611.72,611.72,paid,2026-05-16T20:52:00
